ZIP,Territory ID,Territory Name,Region ID,Region Name,E/W ID,E/W Name,County,City,State
1050,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,HUNTINGTON,MA
1053,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,LEEDS,MA
1054,1010403,"Hartford, CT",10104,New England,101,East Rare Region,FRANKLIN,LEVERETT,MA
1056,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,LUDLOW,MA
1057,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,MONSON,MA
1059,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,NORTH AMHERST,MA
1060,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,NORTHAMPTON,MA
1061,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,NORTHAMPTON,MA
1062,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,FLORENCE,MA
1063,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,NORTHAMPTON,MA
1066,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,NORTH HATFIELD,MA
1068,1010401,"Boston, MA",10104,New England,101,East Rare Region,WORCESTER,OAKHAM,MA
1069,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,PALMER,MA
1070,1010403,"Hartford, CT",10104,New England,101,East Rare Region,FRANKLIN,PLAINFIELD,MA
1071,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,RUSSELL,MA
1072,1010403,"Hartford, CT",10104,New England,101,East Rare Region,FRANKLIN,SHUTESBURY,MA
1073,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,SOUTHAMPTON,MA
1074,1010401,"Boston, MA",10104,New England,101,East Rare Region,WORCESTER,SOUTH BARRE,MA
1075,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,SOUTH HADLEY,MA
1077,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,SOUTHWICK,MA
1079,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,THORNDIKE,MA
1080,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,THREE RIVERS,MA
1081,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,WALES,MA
1082,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,WARE,MA
1083,1010401,"Boston, MA",10104,New England,101,East Rare Region,WORCESTER,WARREN,MA
1084,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,WEST CHESTERFIELD,MA
1085,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,WESTFIELD,MA
1086,1010403,"Hartford, CT",10104,New England,101,East Rare Region,,,
1088,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,WEST HATFIELD,MA
1089,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,WEST SPRINGFIELD,MA
1090,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,WEST SPRINGFIELD,MA
1092,1010401,"Boston, MA",10104,New England,101,East Rare Region,WORCESTER,WEST WARREN,MA
1093,1010403,"Hartford, CT",10104,New England,101,East Rare Region,FRANKLIN,WHATELY,MA
1094,1010401,"Boston, MA",10104,New England,101,East Rare Region,WORCESTER,WHEELWRIGHT,MA
1095,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,WILBRAHAM,MA
