,NPI,PROVIDER_ZIP,VYVGART_VOLUME_3MONTH_KOMODO,SOLIRIS_VOLUME_3MONTH_KOMODO,ULTOMIRIS_VOLUME_3MONTH_KOMODO,VYVGART_VOLUME_6MONTH_KOMODO,SOLIRIS_VOLUME_6MONTH_KOMODO,ULTOMIRIS_VOLUME_6MONTH_KOMODO,VYVGART_VOLUME_12MONTH_KOMODO,SOLIRIS_VOLUME_12MONTH_KOMODO,ULTOMIRIS_VOLUME_12MONTH_KOMODO
1313,1073879995,37129,0,0,0,4,0,0,7,1,0
1314,1679942353,68144,0,2,0,0,2,0,0,4,0
1315,1083714786,52242,0,0,0,0,0,1,0,0,1
1316,1376643478,01747,0,5,0,0,12,0,0,24,1
1317,1316508617,53215,0,0,0,0,0,0,12,0,0
1318,1619945532,38117,0,6,5,0,12,13,0,43,24
1319,1225297492,95661,0,0,0,1,2,0,1,2,0
1320,1871882357,35801,29,127,12,53,245,27,93,484,42
1321,1447761630,32514,7,0,0,10,0,0,10,0,0
1322,1649591066,28401,12,0,2,18,0,2,21,0,3
1323,1679662381,85392,4,0,0,9,0,0,9,12,3
1324,1205826187,71913,4,0,0,4,0,0,4,0,0
1325,1013159326,19611,4,0,0,4,0,0,4,0,0
1326,1356766786,32806,1,0,0,3,0,0,3,0,0
1327,1235557927,60612,4,0,0,8,0,0,12,0,0
1328,1437380789,90064,0,0,0,0,0,0,1,0,0
1329,1871695924,75061,7,0,2,11,0,4,27,0,8
1330,1619455896,35802,3,0,0,3,0,0,3,0,0
1331,1295284560,54956,1,0,0,1,0,0,1,0,0
1332,1215552021,35401,1,0,0,2,0,0,2,0,0
1333,1790996007,45219,0,0,1,1,0,2,5,0,2
1334,1053495432,59405,4,0,0,8,0,0,14,0,0
1335,1518924729,33173,1,0,0,4,0,0,12,0,0
1336,1134388689,34236,0,0,2,0,0,3,0,4,4
1337,1003819269,38120,0,5,0,0,9,0,0,19,0
1338,1821198599,43551,0,1,1,0,5,4,0,17,4
1339,1285830554,04086,0,0,0,0,0,0,0,1,0
1340,1497790513,89502,0,0,0,0,0,0,1,1,0
1341,1336653740,34994,0,1,0,5,1,0,5,1,0
1342,1730680836,02115,0,0,0,0,3,0,0,3,0
1343,1184986770,93003,1,0,0,1,0,0,1,1,0
1344,1699086199,36604,7,0,0,7,0,0,7,0,0
1345,1306888953,08873,11,6,0,23,12,0,29,25,0
1346,1750703104,60642,0,0,0,0,0,0,2,0,0
1347,1548277197,84132,4,4,2,4,7,2,4,7,2
1348,1528175239,98632,0,0,0,0,0,0,1,0,0
1349,1023083961,75206,3,0,0,3,1,0,3,1,0
1350,1508970948,14642,0,0,0,0,0,3,0,0,5
1351,1568621225,33166,5,0,0,7,0,0,7,0,0
1352,1588689285,60010,0,0,4,0,0,8,0,4,9
1353,1841210713,35805,0,1,0,0,1,0,0,1,0
1354,1912243114,94143,0,0,0,1,0,0,4,0,0
1355,1407857485,30033,4,0,0,4,0,0,4,0,0
1356,1477070399,35209,0,4,0,0,9,0,0,16,0
1357,1013512359,49008,2,0,0,2,0,0,2,1,0
1358,1407198807,49546,0,0,0,0,0,0,2,0,0
1359,1043325335,61832,1,0,0,1,0,0,1,0,0
1360,1467608943,48202,2,0,0,3,0,0,3,0,0
1361,1336138494,70737,0,0,0,2,0,0,2,0,0
1362,1699975755,34474,0,0,0,0,0,0,1,2,0
1363,1659399624,32503,0,0,0,0,5,0,0,17,0
1364,1316404403,48060,0,0,0,1,0,0,1,0,0
1365,1356769723,43221,0,0,0,3,0,0,3,0,0
1366,1871756759,28207,0,0,5,2,0,10,7,9,24
1367,1073838470,94143,0,0,0,0,0,0,2,0,0
1368,1801349626,37919,0,20,0,0,32,1,0,61,4
1369,1760635338,02215,0,0,0,0,6,0,0,15,0
1370,1528060399,45459,0,0,0,0,2,0,0,17,0
1371,1851345433,85297,0,0,2,0,0,2,0,0,2
1372,1407263106,89129,0,0,0,0,0,0,1,0,0
1373,1952508533,73120,48,2,8,79,8,15,94,24,25
1374,1962939967,97601,5,0,0,11,0,0,20,0,0
1375,1982743720,11021,9,17,18,22,39,37,43,88,69
1376,1952390452,32751,4,7,0,12,14,0,16,28,4
1377,1477073534,28273,3,0,1,7,0,2,10,0,3
1378,1427091727,34761,4,0,0,4,0,0,4,0,0
1379,1164463873,44195,1,0,5,1,1,5,1,11,5
1380,1871585711,85253,5,5,1,8,13,3,19,29,3
1381,1457581597,94704,0,0,0,0,0,0,0,1,0
1382,1619915733,70601,3,0,0,3,0,0,3,0,0
1383,1528487907,55805,0,0,0,0,0,0,2,0,0
1384,1154564409,73162,0,6,0,0,12,0,0,26,0
1385,1013367606,10016,0,0,2,0,0,2,0,0,2
1386,1912994583,42303,0,0,1,0,0,1,0,0,1
1387,1821084120,60445,0,0,0,1,0,1,1,0,2
1388,1265672018,34205,1,2,0,1,2,0,1,4,0
1389,1699865170,72205,0,6,1,0,13,1,0,25,1
1390,1457334799,85259,0,0,1,0,0,3,0,2,5
1391,1558342931,35601,0,0,0,0,0,0,0,1,0
1392,1982783312,70605,0,0,0,0,1,0,0,1,0
1393,1346582277,08103,4,0,0,4,0,0,17,0,0
1394,1710202577,54301,0,9,0,0,10,0,0,10,0
1395,1740220201,90048,5,0,0,9,0,0,17,0,0
1396,1922017813,33135,4,0,0,8,0,0,12,0,0
1397,1376539692,60527,3,0,2,3,0,2,3,0,2
1398,1922518265,85351,0,0,0,0,0,0,2,0,0
1399,1285715318,48109,1,5,0,3,11,0,45,75,2
1400,1013910751,85614,0,0,0,4,0,0,4,0,0
1401,1922194364,07423,0,0,0,0,0,2,0,0,2
1402,1215980818,17901,0,0,0,1,0,0,3,0,0
1403,1225512858,45040,4,0,0,5,0,0,5,0,0
1404,1730109497,44106,0,0,1,0,0,1,0,0,1
1405,1699877316,84604,0,1,0,0,1,0,0,2,0
1406,1285080051,30180,0,0,0,0,0,2,0,0,4
1407,1497983704,48202,0,0,0,0,0,0,0,1,0
1408,1548260102,04074,0,2,0,0,9,0,0,22,0
1409,1861979965,59405,0,0,1,0,0,2,0,0,4
1410,1558531939,37604,0,1,0,0,3,0,0,3,0
1411,1366510810,48202,0,6,0,0,6,0,0,6,0
1412,1083695233,11776,0,9,9,0,18,10,4,41,16
1413,1326287624,08736,0,0,0,1,0,0,1,0,0
1414,1821435579,85901,0,0,1,0,0,1,0,0,1
1415,1164511168,33607,10,0,0,17,0,0,42,0,0
1416,1679634844,60201,3,0,0,4,0,0,7,0,0
1417,1912269804,85724,0,0,0,0,2,0,0,7,0
1418,1790719367,85712,4,0,0,4,0,0,4,0,0
1419,1922032218,78229,0,0,0,2,0,0,2,0,0
1420,1457523334,45069,18,0,0,28,2,0,33,7,0
1421,1649208141,23233,0,7,0,0,12,0,0,23,0
1422,1538190798,70503,3,0,0,3,0,0,3,0,0
1423,1548277189,33705,3,0,0,3,0,0,3,0,0
1424,1043509953,90503,4,0,0,4,0,0,4,0,0
1425,1255896684,78229,6,0,0,13,0,0,24,0,0
1426,1093777690,44320,2,3,3,2,7,8,2,37,14
1427,1306071899,43221,0,13,0,0,23,0,1,33,0
1428,1871841312,28152,0,0,0,0,0,0,0,0,2
1429,1659494854,33071,0,0,6,4,0,8,12,0,12
1430,1609379403,75087,0,0,0,0,0,0,4,0,0
1431,1699114009,60123,0,6,0,0,9,0,0,9,0
1432,1932211232,85308,0,0,1,0,0,2,0,0,4
1433,1275755670,89144,0,0,0,0,0,1,0,0,2
1434,1063053247,75217,0,0,0,0,0,0,1,0,0
1435,1720021223,47303,0,0,0,0,0,0,5,0,0
1436,1568473551,31709,0,0,2,0,0,3,0,0,5
1437,1417996695,84790,0,0,0,2,0,0,10,0,0
1438,1205353786,60506,6,0,1,12,0,3,21,15,9
1439,1457540882,77521,0,0,0,0,0,0,6,0,0
1440,1538751151,48334,3,3,0,3,4,0,5,7,0
1441,1174748180,50309,10,6,0,23,12,0,24,38,0
1442,1982993655,70808,0,0,0,0,0,0,5,0,0
1443,1942689286,31201,0,0,1,0,0,1,0,0,1
1444,1376602144,76092,4,0,0,4,0,0,15,0,0
1445,1255352324,78746,0,0,0,1,0,0,1,0,0
1446,1639579790,80045,0,0,0,0,0,0,0,3,0
1447,1063412310,08820,4,0,0,8,0,0,16,0,0
1448,1548284011,46202,0,5,0,0,11,0,0,24,0
1449,1609052695,30339,0,0,1,0,0,1,0,0,1
1450,1528379476,36535,0,0,0,0,0,0,1,0,0
1451,1972894095,87106,0,0,0,0,0,0,0,2,0
1452,1780793331,39401,0,4,0,0,10,0,0,16,0
1453,1346305588,30906,0,2,0,1,2,0,1,2,0
1454,1437108826,28287,0,0,0,0,0,0,0,10,0
1455,1669582649,31210,40,11,1,79,20,1,124,34,1
1456,1568719060,46202,3,0,0,5,0,0,9,0,0
1457,1548422843,30214,21,0,3,46,0,8,76,0,8
1458,1477963601,48201,5,0,0,12,0,0,20,0,0
1459,1376743872,16335,1,1,0,1,2,0,1,3,0
1460,1225044597,49525,4,11,0,12,25,0,24,54,0
1461,1407380223,98195,4,0,0,8,0,0,8,0,0
1462,1215976964,85710,0,0,2,0,1,4,0,10,4
