GROUPING,CODE,NDC11,MOLECULE,SOURCE_COMPILE,SOURCE_DM,SOURCE_UCB,SOURCE_KOMODO,
IVIG,44206-416-90,44206041690,CARIMUNE,1,1,,,
IVIG,68982-822-04,68982082204,PANZYGA,1,1,,,
IVIG,64208-8235-6,64208823506,GAMMAPLEX,,,1,,
IVIG,68982-810-05,68982081005,CUTAQUIG,,,1,,
IVIG,0069-1224-01,69122401,PANZYGA,1,1,,,
IVIG,13533-335-12,13533033512,GAMASTAN,1,1,,,
IVIG,61953-0004-1,61953000401,FLEBOGAMMA DIF,,,1,,
IVIG,0944-2511-02,944251102,HYQVIA,,,1,,
IVIG,68209-843-02,68209084302,OCTAGAM IMMUNE GLOBULIN (HUMAN),,,1,,
IVIG,13533-800-13,13533080013,GAMUNEX-C,,,1,,
IVIG,13533-800-21,13533080021,GAMUNEX-C,,,1,,
IVIG,0944-2850-08,944285008,CUVITRU,,,1,,
Biologic,73475-3041-5,73475304105,VYVGART,,,1,,
IVIG,44206-436-05,44206043605,PRIVIGEN,,,1,,
IVIG,68982-850-02,68982085002,OCTAGAM IMMUNE GLOBULIN (HUMAN),,,1,,
IVIG,0944-2620-02,944262002,GAMMAGARD S/D,,,1,,
IVIG,0069-1415-01,69141501,PANZYGA,1,1,,,
IVIG,,944271710,HYQVIA,,,1,,
IVIG,0944-2655-04,944265504,GAMMAGARD S/D,,,1,,
IVIG,44206-454-04,44206045404,HIZENTRA,,,1,,
IVIG,68209-843-01,68209084301,OCTAGAM IMMUNE GLOBULIN (HUMAN),,,1,,
IVIG,61953-0003-2,61953000302,FLEBOGAMMA,,,1,,
IVIG,13533-635-12,13533063512,GAMASTAN,1,1,,,
IVIG,61953-0004-3,61953000403,FLEBOGAMMA DIF,,,1,,
IVIG,,944262406,GAMMAGARD,,,,1,"immunoglobulin g, human 2500 mg injection [gammagard]"
IVIG,,944262607,GAMMAGARD,,,,1,"immunoglobulin g, human 5000 mg injection [gammagard]"
IVIG,,944262808,GAMMAGARD,,,,1,"immunoglobulin g, human 10000 mg injection [gammagard]"
IVIG,,944265707,GAMMAGARD,,,,1,"immunoglobulin g, human 5000 mg injection [gammagard]"
IVIG,,944265908,GAMMAGARD,,,,1,"immunoglobulin g, human 10000 mg injection [gammagard]"
IVIG,,54569582800,GAMMAGARD,,,,1,"2 ml immunoglobulin g, human 180 mg/ml injection [gamastan]"
IVIG,,63833759600,VIVAGLOBIN,,,,1,"immunoglobulin g, human 160 mg/ml injectable solution [vivaglobin]"
IVIG,,63833759601,VIVAGLOBIN,,,,1,"immunoglobulin g, human 160 mg/ml injectable solution [vivaglobin]"
IVIG,,63833759602,VIVAGLOBIN,,,,1,"immunoglobulin g, human 160 mg/ml injectable solution [vivaglobin]"
IVIG,,63833759603,VIVAGLOBIN,,,,1,"immunoglobulin g, human 160 mg/ml injectable solution [vivaglobin]"
IVIG,,63833759605,VIVAGLOBIN,,,,1,"immunoglobulin g, human 160 mg/ml injectable solution [vivaglobin]"
MAB,,72677055101,UPLIZNA,,,1,,
MAB,,75987015001,UPLIZNA,,,1,,
MAB,,75987015003,UPLIZNA,,,1,,
MAB,,50242000701,ENSPRYNG,,,1,,
ACHL,,27241009350,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,16729012315,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,24724002901,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,93073998,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,52343008930,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,69238173102,PYRIDOSTIGMINE BROMIDE,1,,,,
ACHL,,78050161,EXELON,1,,,,
ACHL,,73309011001,PYRIDOSTIGMINE BROMIDE,1,,,,
ACHL,,63739066810,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,62756044518,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,378102505,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,69150041509,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,59762001001,GALANTAMINE,1,,,,
ACHL,,50458039860,RAZADYNE,1,,,,
ACHL,,55648031207,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,55154053600,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,68071503203,PYRIDOSTIGMINE BROMIDE,1,,,,
ACHL,,378907193,RIVASTIGMINE,1,,,,
ACHL,,43598094511,NEOSTIGMINE METHYLSULFATE,1,,,,
ACHL,,615762439,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,615784205,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,54868424501,ARICEPT,1,,,,
ACHL,,62856024511,ARICEPT,1,,,,
ACHL,,65691001408,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,60687018201,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,47781021605,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,615762339,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,68084073401,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,78032308,EXELON,1,,,,
ACHL,,78032515,EXELON,1,,,,
ACHL,,115112103,GALANTAMINE HYDROBROMIDE,1,,,,
ACHL,,68083038401,NEOSTIGMINE METHYLSULFATE,1,,,,
ACHL,,591349730,GALANTAMINE,1,,,,
ACHL,,60505279000,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,51991079605,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,65145011201,NEOSTIGMINE METHYLSULFATE,1,,,,
ACHL,,45963056108,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,143974830,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,51079085301,GALANTAMINE,1,,,,
ACHL,,59762024603,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,62856024611,ARICEPT,1,,,,
ACHL,,456121490,NAMZARIC,1,,,,
ACHL,,60760054730,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,781527601,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,68071170009,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,378907016,RIVASTIGMINE,1,,,,
ACHL,,50090291000,DONEPEZIL,1,,,,
ACHL,,70518301201,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,70594006902,NEOSTIGMINE METHYLSULFATE,1,,,,
ACHL,,51079085401,GALANTAMINE,1,,,,
ACHL,,78032608,EXELON,1,,,,
ACHL,,60505254203,GALANTAMINE,1,,,,
ACHL,,378907093,RIVASTIGMINE,1,,,,
ACHL,,55154573605,NEOSTIGMINE METHYLSULFATE,1,,,,
ACHL,,64679031107,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,16729012317,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,60505322108,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,54009121,GALANTAMINE,1,,,,
ACHL,,78032561,EXELON,1,,,,
ACHL,,62157093301,PYRIDOSTIGMINE BROMIDE,1,,,,
ACHL,,378811210,GALANTAMINE,1,,,,
ACHL,,27241009050,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,60505322206,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,43598094558,NEOSTIGMINE METHYLSULFATE,1,,,,
ACHL,,42543070310,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,60505279003,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,456121463,NAMZARIC,1,,,,
ACHL,,64679031203,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,75834015010,NEOSTIGMINE METHYLSULFATE,1,,,,
ACHL,,54009221,GALANTAMINE,1,,,,
ACHL,,60505322105,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,51079085303,GALANTAMINE,1,,,,
ACHL,,51662155703,NEOSTIGMINE METHYLSULFATE,1,,,,
ACHL,,187301040,MESTINON,1,,,,
ACHL,,68554503701,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,615795205,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,781261406,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,62756044065,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,69189024701,ARICEPT,1,,,,
ACHL,,59746032990,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,781730931,RIVASTIGMINE,1,,,,
ACHL,,65145011101,NEOSTIGMINE METHYLSULFATE,1,,,,
ACHL,,115112203,GALANTAMINE HYDROBROMIDE,1,,,,
ACHL,,70700017223,NEOSTIGMINE METHYLSULFATE,1,,,,
ACHL,,59115011090,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,62756044583,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,555014009,GALANTAMINE,1,,,,
ACHL,,143974709,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,93540765,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,68084047801,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,59115011033,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,68001032967,BLOXIVERZ,1,,,,
ACHL,,60505322300,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,93068906,GALANTAMINE,1,,,,
ACHL,,65841075730,GALANTAMINE,1,,,,
ACHL,,51079085403,GALANTAMINE,1,,,,
ACHL,,904658761,RIVASTIGMINE TARTRATE,1,,,,
ACHL,,93540719,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,67046014430,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,378907216,RIVASTIGMINE,1,,,,
ACHL,,63304012920,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,63304012811,DONEPEZIL HYDROCHLORIDE,1,,,,
ACHL,,49349056002,PYRIDOSTIGMINE BROMIDE,1,,,,
